customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,online_order,list_price,order_status_Approved,order_status_Cancelled,brand_Giant Bicycles,brand_Norco Bicycles,brand_OHM Cycles,brand_Solex,brand_Trek Bicycles,brand_WeareA2B,product_line_Mountain,product_line_Road,product_line_Standard,product_line_Touring,offline_order,recency,top_customer,age
1,Female,93.0,Executive Secretary,Health,Mass Customer,N,Yes,11.0,060 Morning Avenue,2016.0,New South Wales,Australia,10.0,6.0,9084.45,11.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,7.0,0.0,5.0,849.5823481728935,1.0,66.0
2,Male,81.0,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,6 Meadow Vale Court,2153.0,New South Wales,Australia,10.0,1.0,4149.07,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,970.5823481728937,0.0,39.0
3,Male,61.0,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,,2170.0,,,,2.0,9888.23,8.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,0.0,6.0,944.5823481728937,0.0,66.0
4,Male,33.0,,IT,Mass Customer,N,No,7.0,0 Holy Cross Court,4211.0,QLD,Australia,9.0,1.0,1047.72,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1037.5823481728937,0.0,58.0
5,Female,56.0,Senior Editor,,Affluent Customer,N,Yes,8.0,17979 Del Mar Point,2448.0,New South Wales,Australia,4.0,2.0,5903.2,6.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,4.0,858.5823481728935,0.0,42.0
6,Male,35.0,,Retail,High Net Worth,N,Yes,13.0,9 Oakridge Court,3216.0,VIC,Australia,9.0,2.0,5931.690000000001,5.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,3.0,906.5823481728937,0.0,53.0
7,Female,6.0,,Financial Services,Affluent Customer,N,Yes,11.0,4 Delaware Trail,2210.0,New South Wales,Australia,9.0,2.0,995.38,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1095.5823481728937,0.0,44.0
8,Male,31.0,Media Manager I,,Mass Customer,N,No,7.0,49 Londonderry Lane,2650.0,New South Wales,Australia,4.0,6.0,12024.759999999998,10.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0,1.0,4.0,864.5823481728935,0.0,58.0
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,97736 7th Trail,2023.0,New South Wales,Australia,12.0,1.0,5357.55,6.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,920.5823481728937,0.0,47.0
10,Female,49.0,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,,2170.0,,,,2.0,7067.83,6.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,875.5823481728935,0.0,31.0
